trType,posX1,posY1,posZ1,posX2,posY2,posZ2
8,112653,79333.3,24057,112640,79344.7,24196.4
2,112653,79333.3,24057,111168,78975.8,25883.7
2,111168,78975.8,25883.7,109962,78663.4,27396.4
2,109962,78663.4,27396.4,108911,78360.4,28694.1
2,108911,78360.4,28694.1,107877,78065.5,29980.8
2,107877,78065.5,29980.8,106824,77783.2,31278.3
2,106824,77783.2,31278.3,105764,77505.1,32578.3
2,105764,77505.1,32578.3,104698,77240.1,33878
2,104698,77240.1,33878,103580,76982.1,35178
2,103580,76982.1,35178,102485,76749.3,36477.8
2,102485,76749.3,36477.8,101358,76510.6,37784.3
2,101358,76510.6,37784.3,100244,76268.7,39084.1
2,100244,76268.7,39084.1,99085.7,76083.1,40396.4
2,99085.7,76083.1,40396.4,97943.7,75930.6,41696.4
2,97943.7,75930.6,41696.4,96799.9,75783.1,42996.3
2,96799.9,75783.1,42996.3,95656.9,75631.5,44296.3
2,95656.9,75631.5,44296.3,94485.4,75482.9,45596.3
2,94485.4,75482.9,45596.3,93315.9,75343.3,46896.3
2,93315.9,75343.3,46896.3,92154.7,75209.8,48194.5
2,92154.7,75209.8,48194.5,90999.1,75095,49494.5
2,90999.1,75095,49494.5,89838.1,74986.7,50812.7
2,89838.1,74986.7,50812.7,88664.9,74824.7,52112.7
2,88664.9,74824.7,52112.7,87494.9,74678.2,53412.7
2,87494.9,74678.2,53412.7,86301.4,74540.1,54712.7
2,86301.4,74540.1,54712.7,85118.5,74417.1,56011.7
2,85118.5,74417.1,56011.7,83929.2,74300.9,57311.7
2,83929.2,74300.9,57311.7,82776.9,74182.3,58611.7
2,82776.9,74182.3,58611.7,81653.6,74039.3,59895.4
2,81653.6,74039.3,59895.4,80489.7,73881.5,61195.6
2,80489.7,73881.5,61195.6,79325.9,73712.1,62495.5
2,79325.9,73712.1,62495.5,78170.9,73547.4,63795.4
2,78170.9,73547.4,63795.4,77026.5,73363.9,65095.4
2,77026.5,73363.9,65095.4,75915.5,73219.5,66370.7
2,75915.5,73219.5,66370.7,74863.1,73072.3,67670.7
2,74863.1,73072.3,67670.7,73826.8,72949.6,68970.7
2,73826.8,72949.6,68970.7,72778.2,72796.7,70270.6
2,72778.2,72796.7,70270.6,71774.2,72649.5,71553.5
2,112653,79333.3,24057,112536,79063.3,25883.7
2,112536,79063.3,25883.7,112432,78836.4,27396.4
2,112432,78836.4,27396.4,112344,78641.6,28694.1
2,112344,78641.6,28694.1,112257,78450.2,29980.8
2,112257,78450.2,29980.8,112085,78066.8,32578.3
2,112085,78066.8,32578.3,112004,77878.1,33878
2,112004,77878.1,33878,111924,77691.8,35178
2,111924,77691.8,35178,111841,77507.2,36477.8
2,111841,77507.2,36477.8,111585,76958.6,40396.4
2,111585,76958.6,40396.4,111497,76774.6,41696.4
2,111497,76774.6,41696.4,111412,76586.4,42996.3
2,111412,76586.4,42996.3,111335,76401.2,44296.3
2,111335,76401.2,44296.3,111254,76212.9,45596.3
2,111254,76212.9,45596.3,111112,75811.8,48194.5
2,111112,75811.8,48194.5,111031,75611.6,49494.5
2,111031,75611.6,49494.5,110951,75411.9,50812.7
2,110951,75411.9,50812.7,110876,75208.9,52112.7
2,110876,75208.9,52112.7,110793,75003,53412.7
2,110793,75003,53412.7,110702,74804.1,54712.7
2,110702,74804.1,54712.7,110616,74608.7,56011.7
2,110616,74608.7,56011.7,110532,74414.8,57311.7
2,110532,74414.8,57311.7,110449,74221.5,58611.7
2,110449,74221.5,58611.7,110366,74027.6,59895.4
2,110366,74027.6,59895.4,110279,73835.3,61195.6
2,110279,73835.3,61195.6,110191,73640,62495.5
2,110191,73640,62495.5,110005,73243.7,65095.4
2,110005,73243.7,65095.4,109916,73054.7,66370.7
